model,scenario,dataset,mse
SCGP,6,uniform_new_HC,121285.546875
SCGP,6,uniform_new_MC,11.881085395812988
SCGP,6,adaptive_new_HC,26122.650390625
SCGP,6,adaptive_new_MC,10.526949882507324
SCGP,8,uniform_new_HC,103184.734375
SCGP,8,uniform_new_MC,0.7982048988342285
SCGP,8,adaptive_new_HC,4455.20166015625
SCGP,8,adaptive_new_MC,9.361174583435059
SCGP,10,uniform_new_HC,89050.0859375
SCGP,10,uniform_new_MC,0.0701054260134697
SCGP,10,adaptive_new_HC,3420.5927734375
SCGP,10,adaptive_new_MC,7.10476541519165
SCGP,12,uniform_new_HC,6007.646484375
SCGP,12,uniform_new_MC,0.017305079847574234
SCGP,12,adaptive_new_HC,3811.342041015625
SCGP,12,adaptive_new_MC,3.451646089553833
SCGP,14,uniform_new_HC,6338.748046875
SCGP,14,uniform_new_MC,0.012805395759642124
SCGP,14,adaptive_new_HC,2921.235595703125
SCGP,14,adaptive_new_MC,2.865715980529785
SCGP,16,uniform_new_HC,5571.58935546875
SCGP,16,uniform_new_MC,0.0034707568120211363
SCGP,16,adaptive_new_HC,765.1202392578125
SCGP,16,adaptive_new_MC,2.506500005722046
SCGP,18,uniform_new_HC,5891.23046875
SCGP,18,uniform_new_MC,0.0017867096466943622
SCGP,18,adaptive_new_HC,573.7007446289062
SCGP,18,adaptive_new_MC,2.3712658882141113
SCGP,20,uniform_new_HC,6023.09130859375
SCGP,20,uniform_new_MC,0.0015320554375648499
SCGP,20,adaptive_new_HC,546.5364379882812
SCGP,20,adaptive_new_MC,2.305330753326416
GP,6,uniform_new_HC,37.90857696533203
GP,6,uniform_new_MC,1.618831992149353
GP,6,adaptive_new_HC,58.03031539916992
GP,6,adaptive_new_MC,2.9395227432250977
GP,8,uniform_new_HC,28.419898986816406
GP,8,uniform_new_MC,0.9952455163002014
GP,8,adaptive_new_HC,57.31842041015625
GP,8,adaptive_new_MC,2.660916328430176
GP,10,uniform_new_HC,26.178020477294922
GP,10,uniform_new_MC,0.580706775188446
GP,10,adaptive_new_HC,57.00825119018555
GP,10,adaptive_new_MC,3.005796194076538
GP,12,uniform_new_HC,19.76513671875
GP,12,uniform_new_MC,0.3673885464668274
GP,12,adaptive_new_HC,55.71998596191406
GP,12,adaptive_new_MC,3.4604368209838867
GP,14,uniform_new_HC,19.09781837463379
GP,14,uniform_new_MC,0.18528369069099426
GP,14,adaptive_new_HC,55.36616897583008
GP,14,adaptive_new_MC,4.026500225067139
GP,16,uniform_new_HC,16.411930084228516
GP,16,uniform_new_MC,0.11660338193178177
GP,16,adaptive_new_HC,54.748207092285156
GP,16,adaptive_new_MC,4.090739727020264
GP,18,uniform_new_HC,15.967384338378906
GP,18,uniform_new_MC,0.05577297508716583
GP,18,adaptive_new_HC,54.27779006958008
GP,18,adaptive_new_MC,3.571753978729248
GP,20,uniform_new_HC,16.037839889526367
GP,20,uniform_new_MC,0.032647572457790375
GP,20,adaptive_new_HC,53.97663497924805
GP,20,adaptive_new_MC,2.5337352752685547
